name,day,years,prevalence,cases
Pyrethroid-only,3366,0.2219178082191781,0.35991216,0.6109807
Pyrethroid-only,3380,0.2602739726027397,0.348307,0.62866175
Pyrethroid-only,3394,0.29863013698630136,0.33789545,0.6495513
Pyrethroid-only,3408,0.336986301369863,0.32864735,0.6789335
Pyrethroid-only,3422,0.37534246575342467,0.32063407,0.7200581
Pyrethroid-only,3436,0.4136986301369863,0.31408155,0.7653953
Pyrethroid-only,3450,0.4520547945205479,0.30937564,0.8193152
Pyrethroid-only,3464,0.4904109589041096,0.30694458,0.90262806
Pyrethroid-only,3478,0.5287671232876713,0.3069604,1.0084987
Pyrethroid-only,3492,0.5671232876712329,0.3091279,1.1114349
Pyrethroid-only,3506,0.6054794520547945,0.31280303,1.2016895
Pyrethroid-only,3520,0.6438356164383562,0.31701618,1.2510018
Pyrethroid-only,3534,0.6821917808219178,0.3206478,1.2305932
Pyrethroid-only,3548,0.7205479452054795,0.3228246,1.1530476
Pyrethroid-only,3562,0.7589041095890411,0.3230514,1.0323286
Pyrethroid-only,3576,0.7972602739726027,0.3211241,0.9046633
Pyrethroid-only,3590,0.8356164383561644,0.31716776,0.83547866
Pyrethroid-only,3604,0.873972602739726,0.3121469,0.85005796
Pyrethroid-only,3618,0.9123287671232877,0.30816045,0.93849945
Pyrethroid-only,3632,0.9506849315068493,0.30740306,1.0953183
Pyrethroid-only,3646,0.989041095890411,0.31112367,1.2944372
Pyrethroid-only,3660,1.0273972602739727,0.31924295,1.4946074
Pyrethroid-only,3674,1.0657534246575342,0.3293927,1.6587923
Pyrethroid-only,3688,1.104109589041096,0.33942798,1.7771242
Pyrethroid-only,3702,1.1424657534246576,0.3483187,1.8517132
Pyrethroid-only,3716,1.180821917808219,0.35571784,1.8778744
Pyrethroid-only,3730,1.2191780821917808,0.36220586,1.8773026
Pyrethroid-only,3744,1.2575342465753425,0.36824673,1.8719201
Pyrethroid-only,3758,1.295890410958904,0.37402424,1.8748336
Pyrethroid-only,3772,1.3342465753424657,0.37965325,1.8947906
Pyrethroid-only,3786,1.3726027397260274,0.38522372,1.9381518
Pyrethroid-only,3800,1.4109589041095891,0.39084858,1.9889433
Pyrethroid-only,3814,1.4493150684931506,0.39680746,2.0576987
Pyrethroid-only,3828,1.4876712328767123,0.40362754,2.1799479
Pyrethroid-only,3842,1.526027397260274,0.41185918,2.3574736
Pyrethroid-only,3856,1.5643835616438355,0.4216046,2.539002
Pyrethroid-only,3870,1.6027397260273972,0.43224785,2.697915
Pyrethroid-only,3884,1.641095890410959,0.4425626,2.7717824
Pyrethroid-only,3898,1.6794520547945206,0.45104152,2.7107425
Pyrethroid-only,3912,1.7178082191780821,0.45633212,2.536588
Pyrethroid-only,3926,1.7561643835616438,0.45758218,2.2544477
Pyrethroid-only,3940,1.7945205479452055,0.45452112,1.949292
Pyrethroid-only,3954,1.832876712328767,0.44762573,1.7066579
Pyrethroid-only,3968,1.8712328767123287,0.43871233,1.614306
Pyrethroid-only,3982,1.9095890410958904,0.4309539,1.724896
Pyrethroid-only,3996,1.9479452054794522,0.42739263,1.9618444
Pyrethroid-only,4010,1.9863013698630136,0.42954788,2.2491937
Pyrethroid-only,4024,2.0246575342465754,0.4371399,2.525218
Pyrethroid-only,4038,2.063013698630137,0.44738293,2.705377
Pyrethroid-only,4052,2.1013698630136988,0.45709708,2.782943
Pyrethroid-only,4066,2.1397260273972605,0.46487975,2.775566
Pyrethroid-only,4080,2.1780821917808217,0.47080117,2.7271092
Pyrethroid-only,4094,2.2164383561643834,0.47541347,2.6641037
Pyrethroid-only,4108,2.254794520547945,0.47890875,2.609492
Pyrethroid-only,4122,2.293150684931507,0.4814601,2.5730932
Pyrethroid-only,4136,2.3315068493150686,0.48336983,2.5603015
Pyrethroid-only,4150,2.3698630136986303,0.48494098,2.5739975
Pyrethroid-only,4164,2.408219178082192,0.48643926,2.6197379
Pyrethroid-only,4178,2.4465753424657533,0.48825276,2.6922896
Pyrethroid-only,4192,2.484931506849315,0.49106616,2.8137453
Pyrethroid-only,4206,2.5232876712328767,0.49567357,3.000534
Pyrethroid-only,4220,2.5616438356164384,0.50235707,3.2122736
Pyrethroid-only,4234,2.6,0.51042295,3.3781214
Pyrethroid-only,4248,2.638356164383562,0.51837325,3.4308734
Pyrethroid-only,4262,2.6767123287671235,0.5244378,3.3243532
Pyrethroid-only,4276,2.7150684931506848,0.5270991,3.0652046
